time,comp0,comp1
0.1329,0.0975443960699,0.0387506435849
0.133,0.097555864398,0.0387621083147
0.1331,0.0975673040934,0.0387735444185
0.1332,0.0975787152277,0.0387849519677
0.1333,0.0975900978721,0.0387963310337
0.1334,0.0976014520979,0.0388076816876
0.1335,0.0976127779759,0.0388190040002
0.1336,0.0976240755769,0.0388302980424
0.1337,0.0976353449716,0.0388415638848
0.1338,0.0976465862303,0.0388528015977
0.1339,0.0976577994233,0.0388640112515
0.134,0.0976689846207,0.0388751929161
0.1341,0.0976801418924,0.0388863466614
0.1342,0.0976912713082,0.0388974725572
0.1343,0.0977023729374,0.038908570673
0.1344,0.0977134468497,0.0389196410782
0.1345,0.097724493114,0.0389306838419
0.1346,0.0977355117996,0.0389416990332
0.1347,0.0977465029752,0.0389526867209
0.1348,0.0977574667095,0.0389636469737
0.1349,0.0977684030711,0.03897457986
0.135,0.0977793121282,0.0389854854483
0.1351,0.0977901939491,0.0389963638067
0.1352,0.0978010486018,0.0390072150031
0.1353,0.0978118761541,0.0390180391054
0.1354,0.0978226766736,0.0390288361813
0.1355,0.0978334502279,0.0390396062981
0.1356,0.0978441968843,0.0390503495233
0.1357,0.09785491671,0.039061065924
0.1358,0.0978656097719,0.0390717555672
0.1359,0.0978762761368,0.0390824185196
0.136,0.0978869158715,0.0390930548479
0.1361,0.0978975290424,0.0391036646186
0.1362,0.0979081157158,0.039114247898
0.1363,0.0979186759579,0.0391248047522
0.1364,0.0979292098347,0.0391353352473
0.1365,0.097939717412,0.039145839449
0.1366,0.0979501987556,0.039156317423
0.1367,0.0979606539308,0.0391667692348
0.1368,0.097971083003,0.0391771949496
0.1369,0.0979814860374,0.0391875946328
0.137,0.0979918630991,0.0391979683492
0.1371,0.0980022142527,0.0392083161637
0.1372,0.0980125395632,0.0392186381409
0.1373,0.0980228390949,0.0392289343455
0.1374,0.0980331129123,0.0392392048417
0.1375,0.0980433610795,0.0392494496937
0.1376,0.0980535836606,0.0392596689655
0.1377,0.0980637807194,0.0392698627211
0.1378,0.0980739523198,0.0392800310242
0.1379,0.0980840985252,0.0392901739382
0.138,0.0980942193991,0.0393002915266
0.1381,0.0981043150047,0.0393103838526
0.1382,0.0981143854051,0.0393204509793
0.1383,0.0981244306632,0.0393304929696
0.1384,0.0981344508419,0.0393405098863
0.1385,0.0981444460036,0.039350501792
0.1386,0.098154416211,0.0393604687491
0.1387,0.0981643615263,0.0393704108199
0.1388,0.0981742820116,0.0393803280666
0.1389,0.098184177729,0.0393902205512
0.139,0.0981940487403,0.0394000883354
0.1391,0.0982038951071,0.0394099314809
0.1392,0.0982137168911,0.0394197500494
0.1393,0.0982235141535,0.039429544102
0.1394,0.0982332869557,0.0394393137001
0.1395,0.0982430353586,0.0394490589048
0.1396,0.0982527594232,0.0394587797768
0.1397,0.0982624592103,0.039468476377
0.1398,0.0982721347805,0.039478148766
0.1399,0.0982817861943,0.0394877970042
0.14,0.0982914135119,0.0394974211519
0.1401,0.0983010167936,0.0395070212693
0.1402,0.0983105960993,0.0395165974164
0.1403,0.0983201514889,0.039526149653
0.1404,0.0983296830222,0.0395356780388
0.1405,0.0983391907586,0.0395451826334
0.1406,0.0983486747576,0.0395546634963
0.1407,0.0983581350785,0.0395641206865
0.1408,0.0983675717804,0.0395735542633
0.1409,0.0983769849223,0.0395829642856
0.141,0.0983863745629,0.0395923508123
0.1411,0.098395740761,0.0396017139019
0.1412,0.0984050835751,0.039611053613
0.1413,0.0984144030636,0.0396203700041
0.1414,0.0984236992847,0.0396296631332
0.1415,0.0984329722966,0.0396389330585
0.1416,0.0984422221571,0.0396481798379
0.1417,0.098451448924,0.0396574035293
0.1418,0.0984606526551,0.0396666041903
0.1419,0.0984698334079,0.0396757818783
0.142,0.0984789912397,0.0396849366507
0.1421,0.0984881262077,0.0396940685648
0.1422,0.098497238369,0.0397031776776
0.1423,0.0985063277806,0.0397122640461
0.1424,0.0985153944994,0.039721327727
0.1425,0.0985244385818,0.039730368777
0.1426,0.0985334600845,0.0397393872526
