time,soma
0.5834,-0.0492119734317
0.5835,-0.0490074236173
0.5836,-0.0487848622697
0.5837,-0.0485410274577
0.5838,-0.0482717794589
0.5839,-0.0479717748688
0.584,-0.0476339819714
0.5841,-0.0472489376839
0.5842,-0.0468035764996
0.5843,-0.0462792969656
0.5844,-0.0456486300272
0.5845,-0.0448691823001
0.5846,-0.0438718740492
0.5847,-0.0425360707017
0.5848,-0.0406314511927
0.5849,-0.0376643339785
0.585,-0.0323973438777
0.5851,-0.0212385863597
0.5852,0.00227398746654
0.5853,0.0230209989557
0.5854,0.0286929382346
0.5855,0.0263415557696
0.5856,0.0202450412056
0.5857,0.0124410773951
0.5858,0.00404167972268
0.5859,-0.00426450741424
0.586,-0.0121249885505
0.5861,-0.0193907909915
0.5862,-0.0263306439509
0.5863,-0.0332309431957
0.5864,-0.0399685128243
0.5865,-0.0460551484417
0.5866,-0.0510065956053
0.5867,-0.0545529034777
0.5868,-0.0568783721912
0.5869,-0.0583411889037
0.587,-0.0592496670512
0.5871,-0.0598154610082
0.5872,-0.0601714185154
0.5873,-0.0603982262164
0.5874,-0.0605445268647
0.5875,-0.06063969745
0.5876,-0.0607015499019
0.5877,-0.0607409327865
0.5878,-0.0607644933003
0.5879,-0.0607763438299
0.588,-0.06077906969
0.5881,-0.0607743382311
0.5882,-0.0607632657563
0.5883,-0.060746637414
0.5884,-0.0607250381266
0.5885,-0.0606989299793
0.5886,-0.060668697593
0.5887,-0.0606346745861
0.5888,-0.0605971589602
0.5889,-0.0605564219864
0.589,-0.0605127135208
0.5891,-0.0604662652672
0.5892,-0.060417292798
0.5893,-0.060365997139
0.5894,-0.0603125658175
0.5895,-0.0602571739464
0.5896,-0.0601999849772
0.5897,-0.0601411516027
0.5898,-0.0600808164088
0.5899,-0.06001911261
0.59,-0.059956164729
0.5901,-0.0598920891249
0.5902,-0.0598269946374
0.5903,-0.05976098306
0.5904,-0.0596941495987
0.5905,-0.0596265833868
0.5906,-0.0595583678284
0.5907,-0.0594895809685
0.5908,-0.0594202958914
0.5909,-0.0593505809943
0.591,-0.0592805002512
0.5911,-0.0592101135319
0.5912,-0.0591394768546
0.5913,-0.0590686425382
0.5914,-0.0589976594534
0.5915,-0.058926573288
0.5916,-0.0588554266104
0.5917,-0.0587842590969
0.5918,-0.0587131077135
0.5919,-0.0586420068526
0.592,-0.0585709884223
0.5921,-0.0585000819975
0.5922,-0.0584293150503
0.5923,-0.0583587128892
0.5924,-0.0582882988626
0.5925,-0.0582180945146
0.5926,-0.0581481196084
0.5927,-0.0580783921942
0.5928,-0.0580089287663
0.5929,-0.0579397443685
0.593,-0.0578708525565
0.5931,-0.0578022655346
0.5932,-0.0577339943461
0.5933,-0.0576660487371
0.5934,-0.0575984372758
0.5935,-0.0575311676132
0.5936,-0.0574642462681
0.5937,-0.0573976787519
0.5938,-0.0573314698457
0.5939,-0.0572656233407
0.594,-0.0572001421683
0.5941,-0.0571350286969
0.5942,-0.0570702844004
0.5943,-0.0570059100748
0.5944,-0.0569419060437
0.5945,-0.0568782718301
0.5946,-0.0568150064744
0.5947,-0.0567521085563
0.5948,-0.0566895759661
0.5949,-0.0566274062984
0.595,-0.0565655966347
0.5951,-0.0565041434828
0.5952,-0.0564430432499
0.5953,-0.0563822916863
0.5954,-0.0563218843362
0.5955,-0.0562618164477
0.5956,-0.0562020827185
0.5957,-0.0561426778892
0.5958,-0.0560835960705
0.5959,-0.0560248313232
0.596,-0.0559663774466
0.5961,-0.0559082277737
0.5962,-0.0558503757532
0.5963,-0.05579281424
0.5964,-0.0557355362156
0.5965,-0.0556785341998
0.5966,-0.0556218005701
0.5967,-0.0555653276838
0.5968,-0.0555091073511
0.5969,-0.0554531316541
